Gene_symbol	NAME	log2FoldChange	pvalue	FDR	1posH	2posH	3posH	4posH	5posH	6posH	1negH	2negH	3negH	4negH	5negH	6negH
0610037L13Rik	RIKEN cDNA 0610037L13 gene	1.049527558	0.475626556	0.999902145	22.47283156	21.81653085	20.63259493	22.35784289	23.8956617	21.53854064	19.03094997	22.46157347	19.66224208	20.7627386	22.20607207	22.55551002
0610040J01Rik	RIKEN cDNA 0610040J01 gene	1.125366347	0.290832864	0.999902145	14.7661799	15.61010397	19.83391383	19.84033779	25.91704698	21.91508856	16.15231888	18.71797789	14.06223642	17.61686912	17.48561963	20.67588418
1010001N08Rik	RIKEN cDNA 1010001N08 gene	-1.011865896	0.927654877	0.999902145	3.294446511	4.012235559	2.595713555	3.176851671	2.310154605	3.313621638	3.598288859	2.994876462	2.737780542	2.957117316	3.723173761	2.891732054
1110001J03Rik	RIKEN cDNA 1110001J03 gene	1.045708537	0.756712276	0.999902145	4.941669767	3.259941392	4.126518986	4.016020037	6.569502158	4.21733663	4.597813542	4.741887732	3.235558823	4.404217279	3.922629498	4.988237793
1110002L01Rik	RIKEN cDNA 1110002L01 gene	1.029507252	0.838903082	0.999902145	4.824010963	4.13761792	3.660621681	3.116911073	4.187155222	3.539550386	3.998098732	2.870089943	3.111114252	4.21546511	3.723173761	4.915944492
1110004E09Rik	RIKEN cDNA 1110004E09 gene	1.039646731	0.730707422	0.999902145	21.47273172	23.63457509	22.22995712	22.35784289	35.66301172	29.29542766	23.14899166	24.45815777	20.47113178	25.48154283	24.99845239	30.14630666
1110004F10Rik	RIKEN cDNA 1110004F10 gene	-1.014514812	0.795543147	0.999902145	87.59697955	81.8119907	92.97979069	89.13166858	87.93025966	84.7232805	80.56168946	93.46510292	86.86230993	96.89278014	86.03190797	88.19782764
1110007C09Rik	RIKEN cDNA 1110007C09 gene	1.057990519	0.56360113	0.999902145	13.70725066	13.66667737	18.10343813	16.90324851	15.88231291	18.6767765	14.15326951	16.28464076	14.43557013	15.10017353	15.09215078	16.55516601
1110008F13Rik	RIKEN cDNA 1110008F13 gene	1.029311687	0.640012511	0.999902145	59.59418421	59.4939304	60.10075232	64.43614238	75.65756332	67.25145733	62.97005504	61.58214725	55.19116684	65.18241573	61.29939656	69.18468939
1110008L16Rik	RIKEN cDNA 1110008L16 gene	-1.157731896	0.074171729	0.999902145	10.17748654	9.340985911	10.64908125	8.451624256	9.673772409	11.97422364	11.71442929	10.98121369	12.69334615	11.95430404	12.03382948	10.19335549
1110008P14Rik	RIKEN cDNA 1110008P14 gene	1.049561137	0.587567982	0.999902145	10.58929236	9.403677091	9.251389339	9.950139195	10.75665738	10.31741283	9.595436958	9.421382204	8.462230767	8.997186727	10.70412456	10.26564879
1110012L19Rik	RIKEN cDNA 1110012L19 gene	-1.000928693	0.991009902	0.999902145	13.70725066	13.10245675	13.11168129	12.2878225	10.61227272	11.89891406	14.43313642	12.91540474	11.44890045	11.82846926	11.76788849	12.28986123
1110017D15Rik	RIKEN cDNA 1110017D15 gene	1.047734864	0.830406834	0.999902145	5.706451993	5.516823894	7.454356877	6.473584537	15.44915892	10.09148408	6.476919946	6.800865299	5.040005089	7.361334595	9.041993419	13.66343395
1110019D14Rik	RIKEN cDNA 1110019D14 gene	1.12208097	0.501825643	0.999902145	2.000199667	1.755353057	1.863589219	1.97803972	2.526731599	1.581501236	2.278916277	1.809404529	1.617779411	1.824604301	1.263219669	1.518159328
1110032A03Rik	RIKEN cDNA 1110032A03 gene	-1.05279159	0.650607206	0.999902145	15.64862093	14.60704508	15.44116782	18.22194166	26.13362397	23.64720896	17.83152035	21.52567457	17.42223981	19.63022559	18.21695733	25.01348227
1110034G24Rik	RIKEN cDNA 1110034G24 gene	1.018678397	0.879393383	0.999902145	3.647422923	3.322632572	2.995054102	4.43560422	3.898385896	4.51857496	4.717756504	3.182056241	3.048891967	3.334621654	4.255055727	3.686958369
1110037F02Rik	RIKEN cDNA 1110037F02 gene	-1.02177128	0.773500321	0.999902145	100.4806186	105.0077275	88.98638522	89.37143097	70.38752313	86.60602007	99.23281054	91.46851861	92.58676015	93.18065415	92.74691779	83.42646975
1110038B12Rik	RIKEN cDNA 1110038B12 gene	-1.011647398	0.904370212	0.999902145	11.17758638	12.22478022	13.91036239	13.12699087	13.13900432	12.42608114	12.43408706	15.16156209	11.20001131	12.14305621	12.29977046	13.66343395
1110038F14Rik	RIKEN cDNA 1110038F14 gene	-1.050768208	0.57542353	0.999902145	17.94296761	16.04894224	18.23655165	17.56259509	21.72989175	19.128634	20.15041761	20.65216894	18.35557409	16.92477783	18.7488393	21.3265239
1110046J04Rik	RIKEN cDNA 1110046J04 gene	-1.140627853	0.380757597	0.999902145	1.647223256	1.629970696	1.597362188	2.277742707	1.227269634	2.183977897	2.158973315	2.246157347	2.302224547	1.698769522	1.595645898	2.024212438
1110051M20Rik	RIKEN cDNA 1110051M20 gene	1.029428653	0.679233864	0.999902145	22.23751395	20.31194252	17.30475704	20.91926855	22.88496906	19.35456275	19.83056971	19.09233745	19.91113122	20.82565599	18.01750159	21.90487031
1110059E24Rik	RIKEN cDNA 1110059E24 gene	1.00956298	0.876407126	0.999902145	27.41450132	28.52448718	31.48134645	31.82845731	32.19777981	30.4250714	26.14756571	30.01115788	30.48891967	32.08786875	32.04588844	29.56796025
1110059G10Rik	RIKEN cDNA 1110059G10 gene	-1.051700235	0.503362724	0.999902145	18.53126163	19.24619245	21.03193548	19.06111002	21.1523531	19.20394358	16.87197665	20.02823634	21.40446606	21.89525162	22.13958683	22.26633681
1110065P20Rik	RIKEN cDNA 1110065P20 gene	-1.010867648	0.912088376	0.999902145	7.059528238	7.773706396	7.920254182	6.953109317	6.713886821	6.175385779	7.516425617	7.362404636	6.90667364	5.725482463	8.776052436	6.795570327
1190002F15Rik	RIKEN cDNA 1190002F15 gene	1.036824652	0.885624636	0.999902145	1.823711462	1.00305889	0.59901082	0.899108963	1.299461965	0.301238331	1.119467645	0.748719116	0.933334276	1.195430404	0.731337703	1.012106219
1190002N15Rik	RIKEN cDNA 1190002N15 gene	-1.051629317	0.523785895	0.999902145	188.3717452	195.0949541	163.3302837	187.4342486	150.4488187	154.3846445	190.6693285	185.9943069	210.0624343	176.4203607	170.9335668	158.6837965
1190007I07Rik	RIKEN cDNA 1190007I07 gene	-1.03748943	0.800676248	0.999902145	2.470834883	1.818044238	2.329486524	2.277742707	3.465231908	2.033358732	2.039030354	2.870089943	2.115557692	2.642530367	2.858865566	2.457972246
1200014J11Rik	RIKEN cDNA 1200014J11 gene	-1.015352074	0.766901359	0.999902145	52.35816777	53.16212116	57.43848201	53.22725064	57.6816728	56.63280617	52.33511241	53.59581002	56.24894568	56.94023768	58.50701624	58.05152098
1300002E11Rik	RIKEN cDNA 1300002E11 gene	-1.030887189	0.743283819	0.999902145	8.412604484	10.53211834	11.84710289	11.68841652	13.93311996	13.0285578	9.515474983	13.16497778	13.62668043	11.70263448	12.43274095	11.13316841
1500004A13Rik	RIKEN cDNA 1500004A13 gene	-1.090142687	0.535632806	0.999902145	5.000499169	4.576456184	5.790437931	6.054000354	5.12565553	8.208744511	5.357452301	5.740179886	6.595562215	7.424251985	6.183127853	6.578690422
1500009L16Rik	RIKEN cDNA 1500009L16 gene	1.077490158	0.369994168	0.999902145	13.70725066	11.34710369	15.44116782	12.4077037	13.64435064	12.87793864	12.99382088	11.48035977	12.50667929	12.45764316	12.23328521	11.92839472
1500011B03Rik	RIKEN cDNA 1500011B03 gene	-1.027546296	0.815208708	0.999902145	7.530163454	6.645265145	7.254686604	7.672396488	7.002656147	8.284054094	7.516425617	7.861550713	6.346673075	8.871351948	7.911744242	7.084743532
1500011K16Rik	RIKEN cDNA 1500011K16 gene	1.056592328	0.57916527	0.999902145	8.353775082	8.024471118	6.855346057	8.032040073	9.096233758	7.530958267	8.356026351	8.29830353	7.093340496	7.046747646	6.914465556	7.51850334
1500012F01Rik	RIKEN cDNA 1500012F01 gene	-1.040783524	0.75007727	0.999902145	20.00199667	18.4312071	20.3663679	23.55665484	30.46516386	24.55092395	20.47026551	25.14448363	20.16002036	25.22987327	20.34448519	31.66446599
1500015A07Rik	RIKEN cDNA 1500015A07 gene	1.16007683	0.278110453	0.999902145	3.529764119	2.695720766	4.126518986	3.596435854	3.970578228	4.895122874	2.678726151	3.930775356	3.608892533	3.460456433	2.792380321	3.180905259
1500015O10Rik	RIKEN cDNA 1500015O10 gene	-1.023101752	0.898360209	0.999902145	1.76488206	1.379205973	1.331135157	1.258752549	1.660423622	1.355572488	1.239410607	1.871797789	1.120001131	1.572934742	1.063763932	2.16879904
1500017E21Rik	RIKEN cDNA 1500017E21 gene	1.422788289	0.282587983	0.999902145	0	1.06575007	1.064908125	0.839168366	2.598923931	0.677786244	0.999524683	0.873505635	0.435555995	0.440421728	1.130249177	0.433759808
1600002H07Rik	RIKEN cDNA 1600002H07 gene	1.084783793	0.396329728	0.999902145	7.41250465	5.266059171	7.654027151	7.432634098	6.786079153	7.229719936	6.356976985	6.488899001	6.720006785	5.599647683	6.715009819	6.650983724
1600002K03Rik	RIKEN cDNA 1600002K03 gene	-1.122412886	0.443289702	0.999902145	2.353176079	2.256882502	1.863589219	2.21780211	2.598923931	2.786454559	2.598764176	2.745303424	2.924447397	2.894199926	2.127527863	2.457972246
1600012H06Rik	RIKEN cDNA 1600012H06 gene	1.020254414	0.693751442	0.999902145	55.59378488	57.04897435	55.44177927	57.84267665	60.49717372	66.72429025	54.5740477	56.90265278	57.61783596	60.33777672	58.37404575	58.26840088
1600014C10Rik	RIKEN cDNA 1600014C10 gene	1.095280351	0.342149792	0.999902145	20.7667789	20.43732488	23.8273193	19.06111002	17.61492886	17.17058485	21.42980921	18.21883181	16.11557183	19.44147342	17.28616389	15.9045263
1600020E01Rik	RIKEN cDNA 1600020E01 gene	1.163061818	0.426280454	0.999902145	2.823811295	3.07186785	4.792086564	4.615426012	7.219233141	6.100076196	3.238459973	3.743595578	3.982226243	4.467134669	4.454511464	4.699064587
1600029I14Rik	RIKEN cDNA 1600029I14 gene	-1.175412621	0.468660907	0.999902145	1.529564452	1.504588335	1.464248672	1.258752549	4.403732216	3.38893122	3.038555037	2.433337125	1.617779411	1.950439081	2.659409829	4.120718177
1600029O15Rik	RIKEN cDNA 1600029O15 gene	1.729269108	0.042513913	0.999902145	0.58829402	0.376147084	0.798681094	0.599405976	1.299461965	0.979024575	0.519752835	0.249573039	0.560000565	0.314586948	0.398911474	0.578346411
1700001C02Rik	RIKEN cDNA 1700001C02 gene	1.107859634	0.619683882	0.999902145	2.470834883	3.259941392	2.728827071	3.836198244	8.302118112	4.970432456	3.598288859	3.868382097	2.675558257	4.341299889	3.124806549	5.421997601
1700001L05Rik	RIKEN cDNA 1700001L05 gene	1.062409691	0.62655676	0.999902145	8.58909269	7.585632854	11.51431911	6.773287525	11.55077303	7.079100771	8.635893262	8.485483309	7.031118211	8.30509544	8.643081945	8.819782764
1700001L19Rik	RIKEN cDNA 1700001L19 gene	-1.041125625	0.856539975	0.999902145	1.235417442	1.567279515	1.930145977	1.678336732	4.548116879	2.409906645	2.039030354	2.495730385	1.991113122	1.887521691	2.991836058	2.457972246
1700003E16Rik	RIKEN cDNA 1700003E16 gene	1.092768944	0.623118353	0.999902145	4.588693355	3.949544378	3.394394649	3.236792268	8.374310444	5.798837866	4.597813542	5.428213587	2.862225112	3.397539044	3.789659007	6.723277025
1700003M02Rik	RIKEN cDNA 1700003M02 gene	1.027257209	0.882971802	0.999902145	11.58939219	11.40979487	11.98021641	10.84924816	27.86623993	21.53854064	13.5535547	15.84788794	11.38667816	16.67310827	15.22512127	19.95295117
1700007G11Rik	RIKEN cDNA 1700007G11 gene	-1.17826311	0.409356091	0.999902145	2.059029069	2.883794308	3.194724376	2.997029878	6.858271484	4.895122874	3.558307872	4.617101212	3.857781673	3.837960772	4.122085235	6.940156929
1700007K13Rik	RIKEN cDNA 1700007K13 gene	-1.013367085	0.945233846	0.999902145	6.177087208	6.20642688	6.189778478	6.293762744	15.81012058	11.14581824	7.276539693	9.98292154	6.53333993	8.493847609	8.111199979	12.07298132
1700008J07Rik	RIKEN cDNA 1700008J07 gene	1.111385977	0.347934778	0.999902145	3.706252325	4.200309101	3.727178439	3.536495256	3.465231908	2.861764141	2.998574049	2.932483202	3.484447963	3.523373823	3.124806549	3.397785163
1700010I14Rik	RIKEN cDNA 1700010I14 gene	-1.143971584	0.378563291	0.999902145	2.294346677	2.256882502	1.597362188	1.798217927	2.598923931	2.409906645	2.118992328	3.618809058	1.991113122	2.642530367	1.86158688	2.602558848
1700012B09Rik	RIKEN cDNA 1700012B09 gene	1.060690238	0.802330109	0.999902145	1.17658804	1.880735418	1.464248672	1.078930756	4.764693873	2.409906645	1.999049366	1.62222475	1.431112556	2.07627386	1.462675406	3.397785163
1700013F07Rik	RIKEN cDNA 1700013F07 gene	1.020648298	0.921630518	0.999902145	1.411905648	0.814985348	1.198021641	1.258752549	2.382346937	2.334597063	1.119467645	1.996584308	1.368890271	1.635852132	1.329704915	1.735039232
1700016K19Rik	RIKEN cDNA 1700016K19 gene	1.106697286	0.640327348	0.999902145	4.882840365	5.454132713	6.256335236	5.15489139	15.73792825	11.07050865	6.476919946	7.799157453	6.6577845	6.983830257	5.91718687	9.976475586
1700017B05Rik	RIKEN cDNA 1700017B05 gene	-1.045763378	0.576589393	0.999902145	53.82890282	46.14070893	52.64639545	54.90558737	44.90363014	43.4536292	49.73634823	50.8505066	54.32005485	54.23478992	50.92769823	49.52091142
1700019G17Rik	RIKEN cDNA 1700019G17 gene	-1.050885256	0.649456714	0.999902145	4.235716943	4.388382643	5.391097384	4.855188403	5.342232524	4.066717464	5.757262175	5.490606847	4.666671379	4.907556397	4.454511464	4.265304779
1700019L03Rik	RIKEN cDNA 1700019L03 gene	-1.060271468	0.767804811	0.999902145	1.823711462	2.821103127	1.797032461	2.277742707	4.331539885	4.292646212	2.758688125	2.994876462	2.862225112	3.145869485	2.592924583	3.976131574
1700020I14Rik	RIKEN cDNA 1700020I14 gene	-1.053726681	0.660754989	0.999902145	61.18257806	69.21106339	55.64144955	60.77976593	42.59347553	58.28961699	68.08762141	54.34452913	70.06229297	58.6390072	60.43508837	54.79832242
1700020L24Rik	RIKEN cDNA 1700020L24 gene	1.049580178	0.766088582	0.999902145	1.17658804	0.814985348	1.131464883	2.157861512	1.227269634	1.882739567	1.279391594	1.372651712	1.493334841	1.195430404	0.864308194	1.807332534
1700021F05Rik	RIKEN cDNA 1700021F05 gene	1.014742331	0.908494843	0.999902145	9.589192523	11.66055959	10.64908125	12.76734728	18.40904451	13.17917697	10.87482855	14.03848342	9.831121038	13.40140401	11.10303604	15.9045263
1700021K19Rik	RIKEN cDNA 1700021K19 gene	1.040364056	0.629580817	0.999902145	56.4173965	59.55662158	49.45167107	47.65277506	45.48116879	50.00556289	52.33511241	51.03768637	50.64894003	47.94305095	48.2682884	46.34000616
1700024G13Rik	RIKEN cDNA 1700024G13 gene	-1.07271672	0.771437068	0.999902145	1.058929236	0.752294167	0.665567578	0.839168366	1.877000617	1.506191653	1.119467645	1.497438231	0.684445136	1.195430404	0.997278686	1.662745931
1700025G04Rik	RIKEN cDNA 1700025G04 gene	1.018231268	0.826518513	0.999902145	51.24040913	48.27220907	49.58478459	53.88659721	35.80739638	50.15618206	48.65686157	49.78982118	49.71560575	48.32055529	49.33205233	37.95398321
1700026D08Rik	RIKEN cDNA 1700026D08 gene	-1.057469362	0.767843266	0.999902145	5.706451993	5.642206255	5.124870353	6.89316872	15.1603896	9.413697834	7.356501668	8.859842867	5.662227939	7.675921543	8.244170471	12.86820764
1700026L06Rik	RIKEN cDNA 1700026L06 gene	-1.142971966	0.526974857	0.999902145	1.235417442	1.379205973	1.464248672	1.858158524	4.187155222	3.614859968	2.398859239	2.495730385	2.115557692	2.579612978	2.127527863	3.903838273
1700028K03Rik	RIKEN cDNA 1700028K03 gene	1.093667621	0.718054736	0.999902145	0.764782226	1.06575007	0.865237852	0.719287171	1.804808285	1.355572488	0.839600734	1.060685414	0.995556561	0.943760845	1.130249177	1.012106219
1700028P14Rik	RIKEN cDNA 1700028P14 gene	-1.055824392	0.803909171	0.999902145	1.588393854	2.00611778	1.663918946	1.858158524	5.486617187	3.08769289	2.23893529	2.558123645	2.115557692	2.01335647	2.925350812	4.699064587
1700029J07Rik	RIKEN cDNA 1700029J07 gene	-1.024141325	0.891831421	0.999902145	3.941569933	5.077985629	4.326189259	3.896138842	11.04542671	6.250695362	5.237509339	5.677786626	5.226671944	5.159225955	4.919908184	9.10895597
1700030C10Rik	RIKEN cDNA 1700030C10 gene	1.080309627	0.728743711	0.999902145	3.000299501	1.191132432	2.595713555	2.877148683	3.032077919	2.485216228	2.158973315	1.435044971	2.488891402	1.761686912	2.991836058	3.253198561
1700030J22Rik	RIKEN cDNA 1700030J22 gene	-1.006631845	0.963676576	0.999902145	3.588593521	3.448014934	2.928497345	3.296732866	7.219233141	4.142027047	3.87815577	4.554707953	3.422225678	3.586291213	4.653967201	4.626771286
1700030K09Rik	RIKEN cDNA 1700030K09 gene	1.068140501	0.502074589	0.999902145	7.647822258	7.146794589	6.988459572	8.211861866	7.65238713	8.359363676	7.116615744	6.800865299	7.653341061	7.487169374	7.047436047	6.940156929
1700037C18Rik	RIKEN cDNA 1700037C18 gene	-1.002250915	0.988555016	0.999902145	2.176687873	3.259941392	1.996702735	2.277742707	4.548116879	2.635835393	2.518802201	3.431629279	2.115557692	2.579612978	2.459954092	3.831544971
1700037H04Rik	RIKEN cDNA 1700037H04 gene	-1.009391878	0.918261532	0.999902145	8.647922092	8.964838827	9.850400159	10.54954517	9.818157072	8.284054094	8.915760173	10.3572811	9.395565042	9.563443234	9.374419648	9.10895597
1700040L02Rik	RIKEN cDNA 1700040L02 gene	1.001690252	0.99151207	0.999902145	5.294646179	5.892970977	4.59241629	5.334713183	10.17911873	7.079100771	5.6773002	7.362404636	4.293337668	7.424251985	4.853422938	8.675196162
1700047I17Rik2	RIKEN cDNA 1700047I17 gene 2	-1.154043448	0.16847044	0.999902145	52.82880298	60.49698929	56.70635767	76.3043807	79.19498756	110.7803961	56.17328719	85.66594547	77.03118889	96.01193668	91.1512719	97.52366352
1700048O20Rik	RIKEN cDNA 1700048O20 gene	-1.106910983	0.567769803	0.999902145	1.47073505	2.821103127	2.196373008	1.318693146	1.51603896	1.280262905	1.719182455	2.433337125	2.240002262	1.761686912	1.196734423	2.457972246
1700049G17Rik	RIKEN cDNA 1700049G17 gene	-1.007826844	0.924637873	0.999902145	14.35437408	14.04282446	15.10838403	13.18693146	12.633658	14.68536862	14.47311741	14.78720253	15.49334898	14.15641268	14.42729832	11.20546171
1700052K11Rik	RIKEN cDNA 1700052K11 gene	-1.218447065	0.038457532	0.999902145	8.942069102	8.337927021	10.44941098	8.211861866	8.229925781	7.982815763	10.75488559	10.98121369	9.520009613	8.556764999	10.97006555	12.86820764
1700066M21Rik	RIKEN cDNA 1700066M21 gene	-1.00371946	0.963286519	0.999902145	15.94276794	12.47554494	13.24479481	15.10503059	15.08819727	12.50139072	14.35317445	13.85130364	15.92890497	14.15641268	14.16135734	12.21756793
1700086O06Rik	RIKEN cDNA 1700086O06 gene	1.034501687	0.821263274	0.999902145	2.588493687	2.382264863	2.129816251	2.157861512	2.237962274	2.560525811	2.278916277	2.370943866	2.177779977	2.390860809	2.326983601	2.024212438
1700088E04Rik	RIKEN cDNA 1700088E04 gene	1.005615977	0.973567553	0.999902145	6.765381228	7.585632854	7.321243362	9.11097083	17.54273653	13.40510572	9.875303869	10.10770806	7.528896491	9.815112793	8.377140962	15.61535309
1700094D03Rik	RIKEN cDNA 1700094D03 gene	1.096797935	0.57622375	0.999902145	9.47153372	10.09328008	10.11662719	8.931149037	21.1523531	11.37174698	11.51452435	8.797449607	9.644454183	10.31845191	10.77060981	13.73572726
1700096K18Rik	RIKEN cDNA 1700096K18 gene	-1.048756403	0.74912521	0.999902145	4.176887541	2.946485489	5.5242109	4.855188403	5.342232524	5.196361204	3.238459973	4.679494472	5.288894229	5.347978124	5.45179015	5.494290902
1700101E01Rik	RIKEN cDNA 1700101E01 gene	-1.011151377	0.958027581	0.999902145	2.059029069	1.441897154	1.930145977	2.637386293	4.331539885	3.991407882	2.438840227	2.932483202	2.551113687	2.265026029	2.659409829	3.686958369
1700112E06Rik	RIKEN cDNA 1700112E06 gene	-1.118626544	0.400909976	0.999902145	2.941470099	3.13455903	3.394394649	3.536495256	4.692501542	3.539550386	2.918612075	4.617101212	3.422225678	5.347978124	3.390747532	4.120718177
1700113A16Rik	RIKEN cDNA 1700113A16 gene	-1.104960464	0.552395654	0.999902145	9.353874916	10.21866244	10.51596774	11.98811951	20.57481445	12.80262905	11.83437225	13.78891038	10.95112217	11.63971709	14.42729832	20.74817749
1700123O20Rik	RIKEN cDNA 1700123O20 gene	1.065073297	0.367898806	0.999902145	24.82600764	26.07953113	23.89387606	27.93231846	28.58816324	25.15340061	26.34747065	25.26927015	23.02224547	22.46150812	23.46929174	26.24246839
1810009A15Rik	RIKEN cDNA 1810009A15 gene	1.035016504	0.667919213	0.999902145	12.88363903	11.84863314	13.97691914	14.98514939	14.87162027	12.04953323	12.3141441	14.10087668	13.62668043	12.08013882	12.89813767	12.94050094
1810010H24Rik	RIKEN cDNA 1810010H24 gene	1.063291075	0.727874495	0.999902145	19.47253206	24.38686926	24.75911391	40.45990335	62.95171299	60.47359488	26.30748966	33.00603434	31.04892024	37.43584687	36.69985564	54.14768271
1810011H11Rik	RIKEN cDNA 1810011H11 gene	-1.025748185	0.917056696	0.999902145	1.411905648	1.00305889	0.332783789	0.539465378	0.433153988	0.451857496	1.079486658	0.686325856	0.62222285	0.566256507	0.598367212	0.722933013
1810011O10Rik	RIKEN cDNA 1810011O10 gene	-1.128789822	0.112321176	0.999902145	62.3591661	51.78291518	51.84771435	66.4141821	49.09078536	39.76345965	51.61545464	57.77615841	73.17340722	64.49032444	55.38220969	60.72637313
1810013L24Rik	RIKEN cDNA 1810013L24 gene	1.024067465	0.679274074	0.999902145	67.59498288	68.2080045	64.02760103	78.04265803	68.7270995	69.88729272	71.16615744	72.37618117	69.87562611	67.88786349	63.69286541	61.52159945
1810014B01Rik	RIKEN cDNA 1810014B01 gene	-1.117846676	0.418649907	0.999902145	3.176787707	2.883794308	3.194724376	2.577445695	3.754001233	2.25928748	4.078060707	2.745303424	3.546670248	3.900878161	2.725895075	2.819438752
1810019D21Rik	RIKEN cDNA 1810019D21 gene	1.206050962	0.099740983	0.999902145	11.64822159	12.6009273	13.37790832	11.86823832	18.26465985	15.06191653	12.35412508	10.41967436	9.706676468	11.5767997	9.97278686	14.53095357
1810020O05Rik	RIKEN cDNA 1810020O05 gene	-1.080099625	0.785887441	0.999902145	0.823611628	0.564220625	0.332783789	0.479524781	1.804808285	1.958049149	0.959543696	1.060685414	0.49777828	0.755008676	1.462675406	1.662745931
1810022K09Rik	RIKEN cDNA 1810022K09 gene	1.054454909	0.549849501	0.999902145	18.76657923	22.12998676	23.09519497	22.83736767	24.11223869	23.12004188	22.46931488	23.27268584	18.48001866	20.57398643	21.8071606	20.38671098
1810026B05Rik	RIKEN cDNA 1810026B05 gene	1.054358918	0.578398889	0.999902145	20.29614368	19.49695717	21.16504899	22.65754588	31.11489484	23.79782812	22.74918179	22.14960717	21.34224377	20.95149077	20.54394093	23.49532294
1810026J23Rik	RIKEN cDNA 1810026J23 gene	1.050221722	0.357941953	0.999902145	57.29983753	51.90829754	53.11229275	50.88956733	47.21378474	55.05130493	51.4155497	48.47956273	46.16893551	52.41018562	53.25468183	48.65339181
1810030O07Rik	RIKEN cDNA 1810030O07 gene	-1.035194546	0.536763667	0.999902145	49.41669767	48.08413553	44.92581154	46.15426012	47.21378474	43.07708129	45.53834456	51.03768637	53.01338686	49.07556397	45.0769966	45.11102004
1810032O08Rik	RIKEN cDNA 1810032O08 gene	1.057097453	0.669752062	0.999902145	5.000499169	4.576456184	6.988459572	4.915129	6.13634817	5.497599535	5.037604403	5.677786626	4.231115383	5.159225955	4.786937693	6.43410382
1810034E14Rik	RIKEN cDNA 1810034E14 gene	-1.013459384	0.937485799	0.999902145	1.647223256	1.441897154	1.131464883	2.037980317	1.660423622	1.506191653	1.879106404	1.934191048	0.933334276	1.195430404	1.86158688	1.735039232
1810037I17Rik	RIKEN cDNA 1810037I17 gene	1.078406207	0.46996009	0.999902145	48.29893903	50.65447393	59.23551447	55.20529036	78.47306424	59.19333198	51.65543562	54.96846173	47.28893664	50.33391176	51.65903593	69.6184492
1810041L15Rik	RIKEN cDNA 1810041L15 gene	1.385850115	0.153412179	0.999902145	2.000199667	1.943426599	1.198021641	1.078930756	2.02138528	0.979024575	1.319372582	1.247865193	0.871111991	0.880843456	0.731337703	1.59045263
1810043G02Rik	RIKEN cDNA 1810043G02 gene	1.014053206	0.904683331	0.999902145	7.353675248	9.529059453	9.451059612	8.091980671	11.18981137	9.639626582	8.435988325	8.984629386	7.964452486	9.626360624	8.909022928	10.554822
